Mean Val,Med Val,SD Val,status
63.07841,56.5,29.076034,0
54.140827,37.14,34.635668,0
46.915729,38.84,17.663239,0
34.464135,34.43,0.385812,0
129.373817,117.045,53.919488,0
141.378119,139.78,49.779222,0
49.02545,42.36,15.794128,0
67.575252,58.055,30.72805,0
41.823217,41.275,1.986745,0
40.048667,40.03,0.376668,0
40.049573,39.99,0.553372,0
40.009927,39.98,0.431623,0
40.060129,40.05,0.391257,0
40.046023,40.05,0.345031,0
40.000465,39.99,0.367578,0
41.877981,41.49,1.953979,0
49.493323,42.275,12.150835,0
41.109158,40.72,1.472695,0
40.881015,40.64,1.008269,0
40.986025,40.62,1.273226,0
46.13739,44.055,6.089197,0
79.863692,76.55,17.227924,0
90.059625,88.05,22.789658,0
192.448304,191.26,55.792441,0
69.021231,64.335,18.120881,0
92.083308,92.19,20.003711,0
87.194227,84.705,22.259567,0
56.612719,53.395,10.874507,0
74.665142,71.775,14.346954,0
70.899629,71.17,10.387096,0
73.599169,70.915,17.068565,0
74.583163,72.875,16.250671,0
65.525612,65.555,8.585397,0
57.318242,57.33,6.542022,0
57.692273,57.685,6.591551,0
52.623496,52.62,5.072647,0
51.387169,51.15,5.048778,0
72.148146,66.425,19.137476,0
165.968098,160.13,76.899899,1
168.946673,174.44,72.043715,1
106.867719,43.38,92.015772,1
216.622231,217.49,98.799958,1
156.571317,144.89,55.387592,1
171.170348,152.625,75.065735,1
181.689415,175.06,46.777013,1
270.692315,273.96,109.769888,1
173.099973,163.385,47.699132,1
180.012379,166.565,57.953835,1
155.091344,150.955,83.548353,1
148.882427,143.185,44.246954,1
325.783971,328.825,98.368502,1
249.160644,248.16,75.933266,1
222.705842,223.385,60.615052,1
158.262531,156.31,39.834778,1
149.044602,147.165,48.655795,1
233.171883,230.925,65.193337,1
88.716735,84.735,19.358726,1
77.216421,74.32,15.751322,1
109.056485,103.735,25.922634,1
100.601825,94.32,30.966532,1
106.996785,93.26,43.314717,1
103.961944,91.205,39.605395,1
84.361258,80.565,19.68858,1
99.403215,93.58,29.211346,1
99.445635,94.19,23.226134,1
110.583135,99.805,38.208655,1
105.335279,99.035,30.631822,1
102.93626,95.86,30.989781,1
101.683067,86.565,47.479159,1
103.925438,95.425,33.123464,1
91.65011,83.91,26.845573,1
95.926165,88.305,29.27808,1
98.31639,86.41,38.146498,1
109.268083,102.49,34.691725,1
98.376363,85.905,35.215557,1
95.003858,86.275,31.978544,1
